episode,instability_humans,instability_CAVs,avg_time_lost,time_excess
755,0,9,95.83,12448.400000000005
760,0,9,95.72999999999999,12422.400000000001
765,0,0,95.72999999999999,12422.400000000001
770,0,0,95.72999999999999,12422.400000000001
775,0,0,95.72999999999999,12422.400000000001
780,0,0,95.72999999999999,12422.400000000001
785,0,0,95.72999999999999,12422.400000000001
790,0,0,95.72999999999999,12422.400000000001
795,0,0,95.72999999999999,12422.400000000001
800,0,0,95.72999999999999,12422.400000000001
805,0,0,95.72999999999999,12422.400000000001
810,0,0,95.72999999999999,12422.400000000001
815,0,0,95.72999999999999,12422.400000000001
820,0,0,95.72999999999999,12422.400000000001
825,0,0,95.72999999999999,12422.400000000001
830,0,0,95.72999999999999,12422.400000000001
835,0,0,95.72999999999999,12422.400000000001
840,0,0,95.72999999999999,12422.400000000001
845,0,0,95.72999999999999,12422.400000000001
850,0,0,95.72999999999999,12422.400000000001
855,0,0,95.72999999999999,12422.400000000001
860,0,0,95.72999999999999,12422.400000000001
865,0,0,95.72999999999999,12422.400000000001
870,0,0,95.72999999999999,12422.400000000001
875,0,0,95.72999999999999,12422.400000000001
880,0,0,95.72999999999999,12422.400000000001
885,0,0,95.72999999999999,12422.400000000001
890,0,0,95.72999999999999,12422.400000000001
895,0,0,95.72999999999999,12422.400000000001
900,0,0,95.72999999999999,12422.400000000001
905,0,0,95.72999999999999,12422.400000000001
910,0,0,95.72999999999999,12422.400000000001
915,0,0,95.72999999999999,12422.400000000001
920,0,0,95.72999999999999,12422.400000000001
925,0,0,95.72999999999999,12422.400000000001
930,0,0,95.72999999999999,12422.400000000001
935,0,0,95.72999999999999,12422.400000000001
940,0,0,95.72999999999999,12422.400000000001
945,0,0,95.72999999999999,12422.400000000001
950,0,0,95.72999999999999,12422.400000000001
955,0,0,95.72999999999999,12422.400000000001
960,0,0,95.72999999999999,12422.400000000001
965,0,0,95.72999999999999,12422.400000000001
970,0,0,95.72999999999999,12422.400000000001
975,0,0,95.72999999999999,12422.400000000001
980,0,0,95.72999999999999,12422.400000000001
985,0,0,95.72999999999999,12422.400000000001
990,0,0,95.72999999999999,12422.400000000001
995,0,0,95.72999999999999,12422.400000000001
1000,0,0,95.72999999999999,12422.400000000001
1005,0,0,95.72999999999999,12422.400000000001
1010,0,0,95.72999999999999,12422.400000000001
1015,0,0,95.72999999999999,12422.400000000001
1020,0,0,95.72999999999999,12422.400000000001
1025,0,0,95.72999999999999,12422.400000000001
1030,0,0,95.72999999999999,12422.400000000001
1035,0,0,95.72999999999999,12422.400000000001
1040,0,0,95.72999999999999,12422.400000000001
1045,0,0,95.72999999999999,12422.400000000001
1050,0,0,95.72999999999999,12422.400000000001
1055,0,0,95.72999999999999,12422.400000000001
1060,0,0,95.72999999999999,12422.400000000001
1065,0,0,95.72999999999999,12422.400000000001
1070,0,0,95.72999999999999,12422.400000000001
1075,0,0,95.72999999999999,12422.400000000001
1080,0,0,95.72999999999999,12422.400000000001
1085,0,0,95.72999999999999,12422.400000000001
1090,0,0,95.72999999999999,12422.400000000001
1095,0,0,95.72999999999999,12422.400000000001
1100,0,0,95.72999999999999,12422.400000000001
